City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,rayachoti,0,IN,1615763888,58,14.05,78.75,68.68,4.94
279,lompoc,20,US,1615763319,54,34.6391,-120.4579,57.2,11.5
280,palmerston,40,AU,1615763889,79,-12.486,130.9833,86.0,1.14
281,roald,0,NO,1615763556,81,62.5833,6.1333,37.4,10.36
282,abdulino,80,RU,1615763890,80,53.7,53.6667,3.42,9.73
283,namibe,80,AO,1615763601,80,-15.1961,12.1522,76.28,4.52
284,iquique,20,CL,1615763585,68,-20.2208,-70.1431,73.4,17.27
285,clinton,75,US,1615763890,51,42.587,-82.9199,37.0,12.66
286,mandalgovi,0,MN,1615763891,46,45.7625,106.2708,9.45,5.7
287,gympie,97,AU,1615763891,79,-26.1898,152.665,76.15,4.68
288,esperance,36,AU,1615763468,82,-33.8667,121.9,51.8,8.05
289,xiongyue,100,CN,1615763892,79,40.1774,122.1228,41.43,11.39
290,faanui,99,PF,1615763595,73,-16.4833,-151.75,83.07,13.27
291,portland,90,US,1615763340,76,45.5234,-122.6762,50.0,8.05
292,vandra,100,EE,1615763893,100,58.6481,25.0361,32.0,1.01
293,takoradi,100,GH,1615763893,75,4.8845,-1.7554,78.53,2.66
294,san ramon de la nueva oran,100,AR,1615763748,89,-23.1322,-64.326,78.01,2.66
295,briancon,50,FR,1615763894,39,44.9,6.65,45.0,4.32
296,arrifes,75,PT,1615763894,100,37.7667,-25.7,60.8,10.36
297,chute-aux-outardes,40,CA,1615763895,45,49.1168,-68.399,15.8,9.22
298,hefei,99,CN,1615763895,77,31.8639,117.2808,60.8,11.18
299,bosaso,66,SO,1615763600,73,11.2842,49.1816,75.18,3.8
300,abilene,1,US,1615763896,17,32.4487,-99.7331,69.01,17.27
301,bonavista,100,CA,1615763647,86,48.6499,-53.1147,28.0,3.44
302,puerto el triunfo,0,SV,1615763896,31,13.2833,-88.55,93.2,2.3
303,pitimbu,20,BR,1615763571,83,-7.4706,-34.8086,78.8,6.91
304,dingle,61,PH,1615763325,88,10.9995,122.6711,77.32,1.92
305,adrar,78,MR,1615763684,24,20.5022,-10.0711,72.75,8.57
306,giyani,1,ZA,1615763897,77,-23.3025,30.7187,68.32,3.42
307,nchelenge,24,ZM,1615763898,90,-9.3451,28.734,67.91,6.2
308,fort william,96,GB,1615763888,94,56.8165,-5.1121,41.0,3.06
309,sangod,10,IN,1615763898,26,24.9167,76.2833,72.18,3.49
310,kirakira,20,SB,1615763899,69,-10.4544,161.9205,83.97,3.13
311,sandwick,90,GB,1615763899,76,60.0,-1.25,44.6,20.71
312,dormont,1,US,1615763900,36,40.3959,-80.0331,42.01,13.8
313,samarai,87,PG,1615763900,70,-10.6167,150.6667,83.66,5.14
314,salinas,90,US,1615763617,51,36.6777,-121.6555,60.8,10.36
315,savannakhet,13,LA,1615763900,82,16.566,104.751,68.97,4.18
316,kahului,20,US,1615763465,61,20.8947,-156.47,78.8,14.97
317,kavieng,89,PG,1615763469,67,-2.5744,150.7967,83.17,3.2
318,langham,1,CA,1615763700,57,52.3668,-106.9679,44.6,21.85
319,poltavka,1,RU,1615763901,97,54.3663,71.7632,-2.78,9.42
320,salalah,0,OM,1615763690,53,17.0151,54.0924,71.6,4.61
321,rochester,40,US,1615763622,37,43.1548,-77.6156,30.99,18.41
322,neuquen,0,AR,1615763902,44,-38.9516,-68.0591,78.8,8.05
323,saint george,1,US,1615763324,33,37.1041,-113.5841,63.0,18.41
324,barra,18,BR,1615763569,58,-11.0894,-43.1417,78.44,2.89
325,rabo de peixe,75,PT,1615763903,100,37.8,-25.5833,60.8,10.36
326,vanino,0,RU,1615763904,57,49.0869,140.2543,37.24,1.97
327,port moresby,40,PG,1615763652,78,-9.4431,147.1797,82.4,11.5
328,san vicente,18,AR,1615763716,63,-26.6167,-54.1333,73.4,3.74
329,provideniya,100,RU,1615763566,94,64.3833,-173.3,24.13,9.46
330,college,20,US,1615763374,35,64.8569,-147.8028,19.0,1.39
331,ongandjera,51,NA,1615763905,55,-17.8833,15.0667,77.09,5.37
332,berlevag,90,NO,1615763905,86,70.8578,29.0864,26.6,3.44
333,lakatoro,85,VU,1615763906,71,-16.0999,167.4164,82.62,1.61
334,gat,100,IL,1615763558,100,31.61,34.7642,55.99,1.25
335,clifton springs,90,AU,1615763906,72,-38.15,144.5667,60.8,14.97
336,hovd,100,MN,1615763635,22,48.0056,91.6419,16.63,3.89
337,muros,8,ES,1615763907,89,42.7762,-9.0603,46.99,1.01
338,umm lajj,61,SA,1615763908,57,25.0213,37.2685,75.2,4.63
339,daman,0,IN,1615763908,51,20.4167,72.85,75.88,7.34
340,makokou,91,GA,1615763908,98,0.5738,12.8642,70.18,2.68
341,morlaix,90,FR,1615763909,93,48.5833,-4.0,51.01,16.11
342,isangel,75,VU,1615763665,89,-19.55,169.2667,80.6,5.75
